recording,start,stop,label
2015-07-07a,61.119903,61.919862,SS
2015-07-07a,63.827455,64.704333,SS
2015-07-07a,68.827195,69.442548,SS
2015-07-07a,76.903699,77.688274,SS
2015-07-07a,92.072142,92.672111,SS
2015-07-07a,289.061914,290.092629,SS
2015-07-07a,352.889369,354.289296,SS
2015-07-07a,395.671763,396.625559,SS
2015-07-07a,710.163125,710.916932,SS
2015-07-07a,743.146028,744.422885,SS
2015-07-07a,818.142134,819.403607,SS
2015-07-07a,825.98788,826.726304,SS
2015-07-07a,954.809909,955.824677,SS
2015-07-07a,955.41877,956.187094,SS
2015-07-07a,959.92724,960.927511,SS
2015-07-07a,989.428002,990.950154,SS
2015-07-07a,999.126286,1000.112061,SS
2015-07-07a,1029.235909,1031.120478,SS
2015-07-07a,1029.641816,1030.613094,SS
2015-07-07a,1033.599412,1034.744651,SS
2015-07-07a,1043.094743,1045.109783,SS
2015-07-07a,1062.186882,1063.390108,SS
2015-07-07a,1079.524922,1080.264253,SS
2015-07-07b,1704.182721,1704.628556,SS
2015-07-07b,1746.8103,1747.486244,SS
2015-07-07b,1765.477843,1766.125023,SS
2015-07-07b,2338.692219,2340.418032,SS
2015-07-07b,2354.598462,2355.245641,SS
2015-07-07b,2400.246213,2400.720812,SS
2015-07-07b,2401.526191,2402.187753,SS
2015-07-07b,2470.141636,2470.774434,SS
2015-07-07b,2495.899394,2496.604101,SS
2015-07-07b,2510.640712,2511.27351,SS
2015-07-07b,2794.378736,2795.040298,SS
2015-07-07b,2795.428606,2796.111718,SS
2015-07-07b,2798.07607,2798.942696,SS
2015-07-07b,2799.052813,2799.75752,SS
2015-07-07b,2799.621554,2800.517067,SS
2015-07-07b,2803.290271,2804.24356,SS
2015-07-07b,2808.573547,2809.3214,SS
2015-07-07b,2809.443318,2810.324387,SS
2015-07-07b,2811.061594,2811.967646,SS
2015-07-07b,2812.399099,2813.161333,SS
2015-07-07b,2813.372023,2813.891999,SS
2015-07-07b,2815.509701,2816.23189,SS
2015-07-07b,2815.92857,2816.318552,SS
2015-07-07b,2817.531829,2818.037361,SS
2015-07-07b,2822.110504,2822.919355,SS
2015-07-07b,2825.201471,2826.010322,SS
2015-07-07b,2826.27031,2826.934723,SS
2015-07-07b,2827.226709,2827.988943,SS
2015-07-07b,2830.170128,2830.964535,SS
2015-07-07b,2831.397848,2832.148924,SS
2015-07-07b,2832.755563,2833.477751,SS
2015-07-07b,2837.016475,2837.666445,SS
2015-07-07b,2838.301971,2838.865278,SS
2015-07-07b,2839.60191,2840.25188,SS
2015-07-07b,2851.200257,2851.879115,SS
2015-07-07b,2851.965777,2852.543528,SS
2015-07-07b,2853.020173,2853.684586,SS
2015-07-07b,2854.103455,2854.652319,SS
2015-07-07b,2854.8112,2855.34562,SS
2015-07-07b,2863.275249,2863.96855,SS
2015-07-07b,2879.27435,2879.820857,SS
2015-07-07b,2880.065347,2880.651105,SS
2015-07-07b,2906.944883,2907.678354,SS
2015-07-07b,3008.250101,3008.96919,SS
2015-07-07b,3010.249168,3011.011402,SS
2015-07-07b,3037.373194,3037.876556,SS
2015-07-07b,3038.207337,3039.055862,SS
2015-07-07c,71.371238,72.400926,SS
2015-07-07c,105.458534,106.273064,SS
2015-07-07c,296.627101,297.610684,SS
2015-07-07c,406.373442,407.126497,SS
2015-07-07c,410.292405,410.753459,SS
2015-07-07c,411.675568,412.382519,SS
2015-07-07c,472.749922,473.410767,SS
2015-07-07c,473.810347,474.717088,SS
2015-07-07c,489.178831,489.993361,SS
2015-07-07c,490.577363,491.161365,SS
2015-07-07c,491.407261,492.267896,SS
2015-07-07c,500.735931,501.273827,SS
2015-07-07c,503.041203,503.594468,SS
2015-07-07c,595.897581,597.265376,SS
2015-07-07c,598.786855,599.278647,SS
2015-07-07c,600.523494,601.245813,SS
2015-07-07c,602.321607,602.936346,SS
2015-07-07c,639.421126,639.897549,SS
2015-07-07c,880.813897,882.904011,SS
2015-07-07c,1310.347643,1311.208278,SS
2015-07-07c,1417.112498,1418.680084,SS
2015-07-07c,1448.863785,1449.570735,SS
2015-07-07c,1450.016421,1450.953899,SS
2015-07-07c,1450.953899,1451.845271,SS
2015-07-07c,1451.937482,1452.752012,SS
2015-07-07c,1453.351382,1453.950753,SS
2015-07-07c,1459.498776,1460.958782,SS
2015-07-07c,1461.58889,1462.649315,SS
2015-07-07c,1484.18056,1485.778883,SS
2015-07-07c,1498.042933,1501.024418,SS
2015-07-07c,1690.640768,1691.562877,SS
2015-07-07c,1862.844626,1863.705261,SS
2015-07-07c,1864.642739,1865.349689,SS
2015-07-07c,1892.936117,1893.950437,SS
2015-07-07c,1895.856129,1897.024134,SS
2015-07-07c,1901.21973,1901.972785,SS
2015-07-07c,1923.657716,1924.718141,SS
2015-07-07c,1930.819429,1931.495642,SS
2015-07-07c,1932.141118,1933.370597,SS
2015-07-07c,1944.973802,1945.60391,SS
2015-07-07c,1955.747109,1957.714275,SS
2015-07-07c,1967.734526,1968.441477,SS
2015-07-07c,1994.583267,1995.320954,SS
2015-07-07c,1998.563704,1999.547287,SS
2015-07-07c,1999.762446,2000.715292,SS
2015-07-07c,2020.60211,2021.416639,SS
2015-07-07c,2079.801508,2080.646775,SS
2015-07-07c,2207.129394,2207.713397,SS
2015-07-07c,2587.51473,2590.75748,SS
2015-07-29a,1175.81577,1176.72473,SS
2015-07-29a,1208.594241,1209.671008,SS
2015-07-29a,1226.773427,1227.850194,SS
2015-07-29a,1457.08973,1459.369121,SS
2015-09-07a,623.336492,624.473036,SS
2015-09-07a,1220.222739,1221.977486,SS
2015-09-07a,1230.821409,1232.042712,SS
2015-09-07a,1414.269615,1418.305806,SS
2015-09-07a,1426.494757,1428.126718,SS
